82;54;Solana (SOL);SOL;1012;0;1011111111111111111111111111111111111111111111111111101111111000000001111111111111111111111001111111110111111110000001000111011111111111111111111111111111111111111111111111111111111111101111111101100111111111111111110001
83;173;Visa/MasterCard TRY;TRY Карта;949;3;1000100100111111110110111111011001111000110000111111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
84;152;Монобанк;UAH Монобанк;980;3;1011111111111111111111111111111101111111111110111111111111111000001001111110111111111111110011100000111100001100000011000111010010011111111111111011111111111111111111111100111110010111100111111001100000000000000010000000
85;95;Capitalist RUB;RUB Capitalist;643;1;1011111111111111111111111111111111111111111111111111111111111000000001111110111111111111100001000000100000101000000010000011010010011111111111111111111111111111111111111101111110111111101111111101111001001111001100000000
86;209;UNI USD;USD UNI;840;4;1000000100010000001000000000000000000000000000000000000000001000000001100000000010000010000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
87;68;Paymer USD;USD Paymer;840;1;0000000000000000010010000000000000000000000000000000000000000000000001000000000011100011000001000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000
88;81;Advanced Cash USD;USD AdvCash;840;1;1011111111111111111111111111111111111111111111111111111111111000000101111111111111111111111111111110101110111100110011000011011111111111111111111111111111111111111111111101111111111111101111111101111101101111111111111101
89;213;Наличные USD;USD Наличными;840;5;1000100100111110111111111111111111111101111111111111111100001000000001101010100011100010010011010000110000110000000000000001000010010000000000000011101101000000000100000001000000101100001000000100000000000000000010010000
90;156;HalykBank;KZT HalykBank;398;3;1000100100111111111110111100011001111101100000000000010000001000000001101111000011111011100001100000100000001000000010000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000
91;214;Наличные RUB;RUB Наличными;643;5;1000100100111110111111111100011001110000100101011011110100001000000001001010000011000011010000000000000000000000000000000101000010010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000
92;216;Наличные UAH;UAH Наличными;980;5;1000100100111110111111111000000001110101100010000011000100000000000001101000000011100010000010000000000000000000000000000001000010000000000000000011101101000000000100000000000000010100000000000000000000000000000000000000
