973;Number1;;0;7929408
977;CityBit;;0;0
984;Cash-Bit;;0;56762
969;4Money;;0;75758209
994;TipTopObmen;;0;85818230
976;ChangeProject;;0;77467464
992;OneMoment;;0;31431399
970;AlfaChange;;0;46312428
987;Itez;;0;2821603
972;BigPay;865127628943;0;22818
974;BestKurs24;;0;19636
980;GrandChange;;0;260954316
975;PremierCash;;0;602382
986;PayFull;;0;75697
1011;IChangeOne;137024936562;0;1003168
999;LetsPay;;0;2431672
1003;Crypto-Market24;;0;0
998;Момент;;0;24688
1027;Nordex;;0;2440390
1013;AvanChange;359556728149;0;43488021
1008;BroExchange;;0;835075
1005;EezyCash;594705036984;3;11682386
1006;Сова;;0;3265882
1002;ExCenter;;0;1058120
1001;CatBit;;0;2348373
1000;BazaObmena;;0;44036789
1014;Coin24;;0;47602763
1015;ТочкаОбмена;512160110371;0;0
1012;CoinsChanger;;0;0
1020;Bit2Cash;;0;1257859
1010;Coinumm;;0;1321174
1032;Crypto-Bank;;0;487300
1026;Ripae;;0;22666
1021;Крипта;;0;911365
1009;CryptoShopping;;0;33425
1019;001K;156178959868;66;4036580
1029;SwiftChange;;0;10026342
1004;ExWm;910856141988;294;12642
1022;Change-Master;238890286272;2107;1833114
1038;Обама;455223738561;200;1842923
1036;CoinCat;;0;258813
1028;BtcSale;;0;2288669
1030;4Pay;;0;1849
1023;UnioChange;;0;122479
1033;CosmoChanger;;0;39942927
1025;GlobalBits;;0;16285867
1035;CryptoXchange;;0;5465799
1024;Just-Exchanger;;0;17519
1037;Crypik;;0;1689546
1034;ClickPay;285857469245;74;2119466
1047;Money-Office;;0;13498363
1046;Муха;;0;317344
1045;AgCash;;0;1589
1044;BitBong;;0;7132074
1041;AnyExchange;;0;10822599
1042;CoinBox;;0;822738
1049;BlaBlaMoney;;0;19219653
1050;Kursov24;;0;12474613
1054;24BitBank;;0;177162
1053;ATMExchanger;;0;30180
1052;Artek-Exchanger;;0;0
1051;КриптоКасса;;0;1674250
